将来	しょうらい
種類	しゅるい
半	はん
苦しむ	くるしむ
訴える	うったえる
ずつ	ずつ
たつ	たつ
関する	かんする
決定	けってい
なくす	なくす
分ける	わける
いわゆる	いわゆる
にかけて	にかけて
よな	よな
視線	しせん
嬉しい	うれしい
no	data
出来る	できる
ダメ	ダメ
見つめる	みつめる
全て	すべて
少女	しょうじょ
扉	とびら
わたし	わたし
もしかして	もしかして
俺たち	おれたち
瞳	ひとみ
先輩	せんぱい
皆	みんな
奴	やつ
はあ	はあ
五	ご
慌てる	あわてる
街	まち
達	たち
というか	というか
なんだか	なんだか
攻撃	こうげき
なぁ	なぁ
妹	いもうと
じゃん	じゃん
立ち上がる	たちあがる
唇	くちびる
はっ	はっ
ねぇ	ねぇ
震える	ふるえる
浮かべる	うかべる
可愛い	かわいい
気付く	きづく
あー	あー
両手	りょうて
んん	んん
身体	からだ
すみません	すみません
三人	さんにん
お母さん	おかあさん
眺める	ながめる
何だ	なんだ
ドア	ドア
床	ゆか
かい	かい
やがる	やがる
ベッド	ベッド
少年	しょうねん
そりゃ	そりゃ
森	もり
わけじゃない	わけじゃない
ひとつ	ひとつ
倒す	たおす
構う	かまう
響く	ひびく
あの子	あのこ
笑み	えみ
謝る	あやまる
振り返る	ふりかえる
かよ	かよ
仕方ない	しかたない
やがて	やがて
我々	われわれ
口にする	くちにする
バカ	バカ
ふと	ふと
肉	にく
まい	まい
地面	じめん
えっと	えっと
何で	なんで
お父さん	おとうさん
叩く	たたく
そっか	そっか
見上げる	みあげる
声をかける	こえをかける
全身	ぜんしん
連中	れんちゅう
さま	さま
戦い	たたかい
告げる	つげる
気配	けはい
と共に	とともに
そっと	そっと
廊下	ろうか
取り出す	とりだす
影	かげ
色々	いろいろ
噂	うわさ
四	よん
兄	あに
怒り	いかり
嘘	うそ
生徒	せいと
相変わらず	あいかわらず
浮かぶ	うかぶ
そうですね	そうですね
傷	きず
痛み	いたみ
放つ	はなつ
体	たい
なのです	なのです
背後	はいご
闇	やみ
おう	おう
普段	ふだん
綺麗	きれい
手紙	てがみ
下さる	くださる
かのように	かのように
電話	でんわ
じっと	じっと
お願いします	おねがいします
だからこそ	だからこそ
挨拶	あいさつ
テーブル	テーブル
かね	かね
無駄	むだ
かわいい	かわいい
王	おう
さっさ	さっさ
２人	ふたり
村	むら
触る	さわる
六	ろく
駄目	だめ
巨大	きょだい
光景	こうけい
多分	たぶん
黒	くろ
ござる	ござる
石	いし
だよね	だよね
おそらく	おそらく
二つ	ふたつ
付き合う	つきあう
肌	はだ
武器	ぶき
当てる	あてる
椅子	いす
そいつ	そいつ
無い	ない
恐怖	きょうふ
おいしい	おいしい
命令	めいれい
本当に	ほんとうに
たぶん	たぶん
いったい	いったい
す	す
マジ	マジ
口を開く	くちをひらく
匂い	におい
格好	かっこう
そうね	そうね
頬	ほお
っていう	っていう
クラス	クラス
いやいや	いやいや
それじゃ	それじゃ
尋ねる	たずねる
うわ	うわ
犬	いぬ
もはや	もはや
階段	かいだん
そう言う	そういう
いいえ	いいえ
もしかしたら	もしかしたら
机	つくえ
先ほど	さきほど
ゲーム	ゲーム
勝負	しょうぶ
そうそう	そうそう
本物	ほんもの
